Channel,RMS noise
0,2.5502113576127448
1,2.956373579791579
2,4.59875521597942
3,4.804398459450272
4,3.027678086614808
5,2.82971024697974
6,3.595886891594081
7,2.7433595479771262
8,3.1570597263450915
9,2.9285259141845517
10,3.3748141476701137
11,2.863418020699559
12,2.3242727037859914
13,2.9944517261794212
14,3.467709556776969
15,2.7965179720272277
16,2.3693378902974382
17,2.906200408975491
18,3.1591388162892073
19,2.827058389310736
20,2.9723859101804
21,2.3635423031899556
22,2.946099158401387
23,2.884156707413936
24,2.9644465654491965
25,2.1091718060379128
26,2.1001758521172986
27,1.926817469318904
28,3.086868022495295
29,2.8468813353124554
30,2.048797322337638
31,2.130192151547027
32,2.1571234614966732
33,2.1263126377456394
34,3.101065067181171
35,3.0824799725665484
36,4.81350898441931
37,2.6482036391054473
38,2.876126981562692
39,2.2125551966300776
40,1.8323196588866044
41,2.4654472826721965
42,1.9379813229127503
43,2.5288805839437423
44,1.8956479834093818
45,2.0858774977455283
46,2.2509966474557945
47,2.2423286455807463
48,1.9187565580075725
49,2.0388344989500222
50,1.9908516462309434
51,3.8010287096305517
52,2.944015917880318
53,2.7339314073664527
54,1.9300639141441713
55,2.254848907575586
56,2.0772834185412
57,1.8507282594271532
58,2.8623474444321837
59,1.9931088164813224
60,2.807575959169854
61,3.0524608396626043
62,2.309261259833287
63,3.723802638779916
64,2.010436763449836
65,2.9392288062280567
66,2.358107194866565
67,2.2947141407519362
68,2.3092960266384464
69,1.8795908812917803
70,2.0207358948636416
71,2.0535635660904323
72,1.854952318921155
73,1.9637522241078806
74,2.063448315913218
75,3.155071511038786
76,3.0750832961839376
77,2.727792966301512
78,2.7009982844876803
79,2.214172614848289
80,2.8622400155093164
81,2.0256473919283793
82,2.0845054199219217
83,1.6751749421698738
84,1.8196955262853771
85,1.770025504109808
86,1.9655216267560287
87,1.572822712239287
88,1.5673980919744306
89,1.7746719788659986
90,4.132831829361964
91,4.450116768792564
92,3.311625063617793
93,1.185947919456316
94,1.5535526690931662
95,1.553381540886916
96,1.4928664510677971
97,2.0079941931824288
98,1.3487824235535084
99,1.3174457074033705
100,1.3304322801666721
101,1.262480358151435
102,1.1852731109720658
103,1.3556672052153909
104,1.4203537656160967
105,1.3224831785258502
106,1.1871234316666794
107,1.578890081325001
108,1.5142665415576737
109,1.4402816314604223
110,1.39795361267058
111,2.7114041789532695
112,1.9906332541867768
113,2.0793709450318074
114,1.9199543539737352
115,2.0004086682743387
116,1.9843278354644722
117,1.8153385468059076
118,2.0851246713378084
119,2.677076053441945
120,3.326621596725891
121,2.178566338406725
122,3.434387882614396
123,4.30058818867579
124,1.7161812685879136
125,1.7923223609577883
126,2.482976273942142
127,2.5585549479034193
128,2.3885399371062404
129,2.912702560105999
130,2.733506037722684
131,3.3615373735311254
132,3.3111582444181202
133,2.375583335678321
134,1.8433693726925786
135,3.07317438494779
136,2.5138090911862903
137,1.5732531329275872
138,1.6661451327713492
139,1.5029742181855745
140,1.884999416788216
141,1.6288860116877741
142,1.598188431162636
143,1.5032958811659116
144,2.1333653466427545
145,2.1086748838221645
146,4.322073259694886
147,1.5045715415238805
148,1.2733063688783586
149,1.6846515328824103
150,2.6167465542259034
151,1.5236244222621853
152,5.0539366085003845
153,4.011590923365775
154,2.101351359647531
155,4.5719199064249
156,2.5346631274901665
157,3.6168777590399133
158,3.092926149609405
159,2.799298311092814
160,2.568388840756754
161,2.5748930847692817
162,2.607672604917211
163,3.0736965263411316
164,2.2077401033943684
165,4.257110651981256
166,2.4074876073802707
167,2.067020163021398
168,3.725061917164033
169,2.388604535709145
170,1.8031121229050764
171,2.260140293914349
172,1.9315563087736485
173,2.165527313477457
174,2.3536299221295196
175,2.074270150975628
176,2.2866452328793065
177,2.485392100053189
178,1.7860615269194997
179,2.1429008504015736
180,2.1706343786372417
181,1.9965134897783114
182,2.350905610174705
183,2.100559348377218
184,2.10800276265629
185,2.2386051564380978
186,1.9740367534699803
187,2.0108879748256636
188,1.9938103722915224
189,2.3810450293023333
190,2.105578789021732
191,1.8940747295384113
192,2.9921020888508596
193,2.432221576796117
194,2.9856736879751056
195,2.1728858171380256
196,2.524418994020499
197,2.9729365119611217
198,4.305507555078047
199,2.237886646668745
200,3.748029993865696
201,4.692970946545636
202,3.8247644198870896
203,3.892253816882277
204,4.49954614029924
205,4.652143218298419
206,4.980312511533894
207,4.691773736757342
208,1.9911733779611767
209,5.1611958192563705
210,2.7199658020482467
211,4.898727690082607
212,4.333085663657286
213,4.319982107370254
214,5.520657818910779
215,4.955760329658195
216,4.387381900850243
217,2.4980144409880247
218,2.814297671261143
219,2.417497042720543
220,3.479943896505174
221,2.5281416547827917
222,3.0882390813063423
223,2.6343928775528327
224,3.247098209831678
225,3.53127890913052
226,3.52116265030193
227,4.252993032805242
228,3.9374736078999213
229,6.500123365471846
230,5.8974012048334465
231,3.488459795639978
232,3.2105371500500692
233,3.2094272454308426
234,3.008861690434791
235,3.1099200748342146
236,3.8957815361295567
237,3.4090051798665715
238,5.449231058575653
239,4.944742237388348
